plant_name,light_time_day,red_light,blue_light,far_red,water_times (times/day),air flow ,growth_yield/m^2 (kg),Active Agents (%),Growth Time (weeks),accuracy,temp_min,temp_max,EC_min,EC_max,humidity_min,humidity_max,ph_min,ph_max
lavender ,14,60,40,0,2,moderate,1.35,1.75,12,85.0,20.0,20.0,1.2,1.2,45.0,45.0,6.8,6.8
lavender ,12,70,30,0,2,moderate,1.0,1.55,12,82.0,20.0,20.0,1.2,1.2,45.0,45.0,6.8,6.8
lavender ,14,50,40,10,2,moderate,1.4500000000000002,1.65,12,85.0,20.0,20.0,1.2,1.2,45.0,45.0,6.8,6.8
lavender ,16,65,36,0,2,moderate,1.6,1.85,12,85.0,20.0,20.0,1.2,1.2,45.0,45.0,6.8,6.8
lavender ,12,60,40,0,2,moderate,1.2,1.9153333333333333,12,85.0,20.0,20.0,1.2,1.2,45.0,45.0,6.8,6.8
lavender ,12,50,30,20,2,medium,0.8,1.25,12,85.0,18.0,22.0,1.5,2.0,50.0,50.0,0.0,6.0
lavender ,14,70,20,10,4,high,1.2,1.75,12,80.0,22.0,27.0,2.5,3.0,45.0,55.0,6.0,6.0
lavender ,12,50,30,20,2,medium,0.8,1.9153333333333333,12,80.0,18.0,22.0,1.5,2.0,50.0,60.0,0.0,6.0
lavender ,14,55,23,20,1,high,0.9,1.45,10,80.0,20.0,24.0,1.8,2.2,45.0,55.0,8.0,6.0
lavender ,12,40,40,20,2,medium,1.0,1.55,12,80.0,19.0,23.0,1.7,2.2,55.0,65.0,6.0,6.0
lavender ,12,50,30,20,2,medium,0.8,1.9153333333333333,12,80.0,18.0,22.0,1.0,1.5,50.0,60.0,6.2,6.2
lavender ,14,55,25,20,2,high,1.0,1.9153333333333333,12,80.0,20.0,24.0,1.5,2.0,45.0,55.0,8.0,6.0
lavender ,16,60,20,20,3,medium,0.9,1.45,10,80.0,22.0,26.0,2.0,2.5,40.0,50.0,5.8,5.8
lavender ,12,40,40,20,2,medium,0.7,1.9153333333333333,12,80.0,19.0,23.0,2.4,2.4,55.0,65.0,6.1,6.1
lavender ,10,50,30,20,1,low,0.6,1.05,10,80.0,20.0,24.0,2.2,2.5,59.0,59.0,5.9,5.9
lavender ,16,68,40,20,3,moderate,0.8,2.5999999999999996,11,82.0,22.0,25.0,2.7,2.7,44.0,51.0,6.1,6.1
lavender ,16,58,23,18,2,high,1.3,2.9000000000000004,10,88.0,22.0,26.0,1.5,1.5,40.0,61.0,5.9,5.9
