,plant_name,light_time_day,red_light,blue_light,far_red,water_times (times/day),air flow ,growth_yield/m^2 (kg),life cycle (m),watering_quantity_month (L),plant_size,accuracy,temp_min,temp_max,EC_min,EC_max,ph_min,ph_max,humidity_min,humidity_max
0,lavender ,12.876793244866226,72.83846988825786,43.47925620399652,-2.5099262490117953,6,consistent,3.022857971016634,0.44908199126393455,32.366546542283565,medium,80,21.28664931677066,22.41702494233265,1.393991938067963,1.044174015408652,8.582969700522156,7.304698024128754,45.138338401045864,52.72623887157306
1,Ashwagandha,17.064338738690445,50.224257183156794,23.17216033708073,14.763758146467513,3,moderate,3.0316855587035776,4.518973996630553,61.468429991497146,large,69,26.651294563413316,30.880969911900515,1.9604109094930118,3.091086539145045,6.782671767445543,6.133598730308946,67.6971775529936,78.30249197881616
2,Ashwagandha,14.855389279885276,42.433963016046505,3.1377060252373568,11.953259724587024,4,high,3.504411246610286,4.490592797048312,45.13516335562571,large,71,23.088580760588055,26.139175742495688,1.7094613892582815,1.7379301804959388,2.101325933371463,6.028991119770326,57.06519803286639,71.08237767983807
3,Ashwagandha,11.396790851639018,65.35258883828297,29.40130329955926,7.228845372220735,2,low,5.06384728349901,5.840479288111608,23.752022042197133,medium,70,18.963258299474,29.14683497123881,1.1326778628944871,1.4018027874484607,5.337412277469312,6.163656524907439,57.64618973015243,63.44374952294305
4,lavender ,11.052505959325151,53.999594376200605,45.85394602662528,-1.5079738188991483,6,high,3.7180119100265845,3.3665458206411194,31.05703582295644,medium,82,23.833182913645803,23.996740364593336,1.3812004520892027,1.0874910837350515,8.36037993721013,7.564869334419411,38.403951631824825,51.2976225754812
5,lavender ,10.727451481498006,50.65406312975132,36.83447697816733,7.367468435781518,4,high,3.0205959704636984,2.421798849401308,26.081334368770534,medium,81,19.79622958653506,23.06653178901308,1.1122473652006852,1.6396336792449349,6.812462149681115,6.067867824771757,49.17913779642042,57.57494123340432
6,lavender ,16.137309979384543,49.447702757874545,36.377839782651776,3.7436175072491076,5,good,2.0745107275015178,3.1542351345849533,39.21428686623509,large,80,23.63725751177671,24.866624401106364,1.5802747944198878,1.9200845690464348,5.83527171920863,6.132161349733918,48.42666170235692,54.96685881471958
7,lavender ,11.923501352934224,58.649817312949125,41.1056072920099,3.1110740749107304,6,consistent,0.9280935323084252,2.8259528682815125,26.544046458346564,medium,82,27.121624812427317,19.79154174069657,0.5226368389716755,1.4173732681573419,8.322826528882702,6.062251681016876,35.68746514044693,51.692062964464384
8,lavender ,16.713484393134443,60.85073873741711,36.451219168348956,-2.794267047964351,4,moderate,2.810348583997245,1.6909610976134015,33.6053809120588,medium,77,22.03369034757185,22.662040151459188,1.2654395982180948,1.6896436566452655,8.058174970147084,6.258375437463692,49.00383547262814,46.09427745837844
9,Aloe Vera,13.520793301316933,72.36403629552358,30.201915573400864,1.2906688526435524,4,high,4.870610128406652,7.603063935962168,21.234253859089407,medium ,69,24.749016871981773,26.4670805234205,1.754920817299574,2.8533880924121,8.006361613623495,6.031868054636913,41.89311206342483,70.88485562268033
10,Ashwagandha,14.614143417357953,53.78910561122577,29.166373872054383,13.276185714125987,5,moderate,4.685367887372049,4.718041677619079,58.98039995287917,large,69,21.622462811050788,25.90748203464607,1.470513240476715,1.8951280798384467,5.999547719269144,6.085462857545393,57.749088746974664,51.995836745506324
11,Aloe Vera,11.741579212969766,52.31956875972567,25.46447522616886,8.513859351903843,2,high,2.750710490654633,4.029118405525335,20.987947265257688,medium,71,17.789719204766918,25.07645498941366,1.4824310581020748,1.4899466588485089,6.746861115589791,5.975809194157707,43.802694545931985,50.56263530030894
12,lavender ,13.27887080846076,50.201361926084445,21.816444037015323,10.918948752407623,4,consistent,3.2073363068807335,5.180276852290929,24.3525460132916,large,78,21.410423162369835,25.964570000690255,1.6654399286821362,2.4946127880689315,7.552721614512317,6.067082997405748,50.84283658886259,56.94115207929549
13,lavender ,11.95291458676833,77.2491068402662,28.643333937849274,-5.159129623659765,6,moderate,0.8955283074289726,3.9599307881040824,32.68106983871677,medium,78,19.440918653920697,21.596238445342127,1.576686257724473,1.6993523801190775,8.205809469456991,7.349274382500665,37.22303663604038,44.45042654987947
14,lavender ,13.726974039876067,77.79414293623752,27.030561516910243,-0.5073322496359838,6,moderate,2.4785035803754925,2.6652640421988756,25.623305144012146,medium,78,19.194158802553993,23.82621220841124,1.1832744899209122,1.776033033986801,6.320310630099894,6.238964583572733,32.290210447182226,52.81630403625116
