,plant_name,light_time_day,red_light,blue_light,far_red,water_times (times/day),air flow ,growth_yield/m^2 (kg),life cycle (m),watering_quantity_month (L),plant_size,accuracy,temp_min,temp_max,EC_min,EC_max,ph_min,ph_max,humidity_min,humidity_max
0,Ashwagandha,15.63482904964328,99.8775719204883,17.238441036858596,17.314407986311462,6,moderate,1.204354593450044,5.5063699470419545,28.382411348025247,medium ,75,18.856957743877977,22.872779083320733,1.9037112685454367,1.14359764853078,7.650213184027235,6.353289641138273,59.50769394707257,85.7042703150137
1,lavender ,17.783761264821823,58.34026836788859,31.45189795664546,-4.368023940943885,5,moderate,5.435330038510061,4.691852004484671,21.157650282196123,medium ,71,25.82988355957144,23.64820852981295,8.666023244670182,2.1293487955628936,5.565470793909347,6.00524771619909,64.54562658201658,75.32602410565387
2,Aloe Vera,16.064450772563923,69.91795103405296,28.921710912967107,9.366167808120759,4,moderate,6.372460633495504,9.271684367243957,21.404364580357324,medium ,79,26.696652006508565,17.79077883493886,6.056391143392684,2.607834900881043,6.5194237025477175,6.1004185251394585,71.92424666862699,67.623819705188
3,Ashwagandha,17.786605581169674,39.18410559666556,22.797874002241727,18.37943138414575,8,consistent,6.4803796258213024,4.665209720450853,18.051571010242114,large,73,23.270145735947086,24.09326479074153,6.217805231197444,0.4791863311293759,9.844495503471542,5.884689977215062,47.48016811620071,60.588792232409276
4,lavender ,16.133981712202374,50.0885244155624,25.861040274513176,23.570620156438753,4,moderate,3.5620502216829686,6.3681560493090235,19.386312609917248,medium,72,22.570161929359138,19.083273739358752,-1.8132137114159423,2.526474931208411,7.124317490581039,6.243759563835572,61.32143837885987,85.26940928743667
5,Aloe Vera,13.47879063120212,93.49259890930757,17.775676107089566,15.77869795944774,5,moderate,3.442656328839715,10.640557909086516,21.93587025852022,large,88,17.047126783584375,25.55170519712066,-5.023804326215361,1.5912327019523547,6.112998174932025,6.073287499612055,54.12311288489652,82.35322833056546
6,lavender ,16.372343429611874,57.259553090579374,22.975830242548483,13.430033795674216,7,low,2.3294070764160644,5.9771244192724176,20.86054122637818,medium ,89,13.411003608196156,21.587057000519433,11.372672899738145,1.97369569290418,7.067141133031501,5.802977167966905,48.26024234019916,33.47062313130289
7,Ashwagandha,13.855626096669498,51.50957808584112,33.67360063576057,4.316420196453144,9,high,3.4052342516657914,9.082413248703222,32.81938392351376,large,72,16.86873615595456,23.313752456673537,12.026448769755824,1.8112701801717352,9.673232789174941,5.884402850297099,49.06049505367571,48.33397001583137
8,Ashwagandha,12.735786053393879,77.7595852028333,27.588915951513208,0.7813443100621917,9,low,4.439573108663813,11.579613629850696,15.973845098441856,medium,72,12.999809505311374,22.968392188368927,6.378074596134805,1.1194595384387485,8.992140560315303,5.71056320832569,48.52723018581436,28.73083787144896
9,Aloe Vera,15.426280688810428,73.5565070850258,11.155722263055022,10.560100884875547,4,moderate,3.0982844980178834,10.088400262834632,24.708798786296985,medium,70,21.26229174049177,23.153592921620636,-0.7742298499100757,2.0158004664748663,5.5110801293215355,5.87401209260089,34.29901143547787,83.36079114052745
