plant_name,temp,EC ds/m,light_time_day,red_light,blue_light,far_red,humidity ,ph,watering ,water_times (times/day),air flow ,action ,state,growth_yield/m^2 (kg),growth_yield_label,life cycle (m),accuracy,overoall accurecy,
Aleo Vera ,18-24 c,0.8-1.5,10 - 14,60%,30%,10%,50-60%,5.5-6.5,dry,2,good,0,0,2.5-6,moderate,6-9m,70%,,
Aleo Vera ,18-24 c,0.8-1.5,12 - 16 ,60%,30%,10%,50-60%,5.5-6.5,dry,,good,light,hig,2.5-6,decrease,6-9m,88%,,
Aleo Vera ,18-24 c,1,10 -14  ,60%,30%,10%,50-60%,5.5-6.5,high ,3,good,watering,high ,3.5 - 7.5 ,increase,6-9m,88%,,
Aleo Vera ,27,0.8–1.5,12 -16,60,30,10,40 - 60,6.0–6.5,moderate,2–3,good,watering,low  ,,increase,,90%,,
Aleo Vera ,18-24	,0.8,6-8,60,30,10,50 -60,5.5-6.0,high ,3,good,light,decrease,4 -10,increase,6 -9 ,88%,,
Aleo Vera ,18-24	,0.8,6-8,60,30,10,50 -60,5.5-6.0,high ,3,good,watering,increase,4 -10,increase,6 -9 ,88%,,
Aleo Vera,18-24,1.8-2.5,10-14,60,30,10,50-60,5.5-6.5,dry,2,good,ec,increase,,decrease,6-9,88,,
Aleo Vera,18-24,0.6 -0.9 ,10-14,60,30,10,50-60,5.5-6.5,dry,2,good,ec,decrease,,increase,6-9,88,,
Aleo Vera ,0- 4,0.8–1.5,10 - 14,60,30,10,50-60,5.5-6.5,moderate,2,good,tempreture ,highly decreased ,0,0,6-9,95%,,
Aleo Vera ,20 - 27 ,0.8–1.5,10 - 14,60,30,10,50-60,5.5-6.5,moderate,2,good,tempreture ,0,0,increase,6 -9 ,95%,,
Aleo Vera ,27 - 40 ,0.8–1.5,10 - 14,60,30,10,50-60,5.5-6.5,moderate,2,good,tempreture ,increase,0,decrease,6 -9 ,95%,,
Aleo Vera ,15 -20,0.8–1.2,10 - 14,60,30,10,60-70%,5.5-6.5,dry,1-2,good,ec,moderate,2.5-6,moderate,6 -9 ,77%,,
Aleo Vera ,25-30,1.2-1.5 ,8-12,60,30,10,50-60%,5.5-6.5,high ,2-3,good,watering,increase,3-7.5,increase,6 -9 ,77%,,
Aloe Vera,15-20,1.0-1.2,12-14,60%,30%,10%,60-70%,5.5-6.0,dry,1,good,watering,decrease,2.5-6,moderate,6-9,85%,,
Aloe Vera,15-20,1.2-1.5,12,60%,30%,10%,50-60%,5.5-6.5,dry,1,good,ec,increase,3-5,moderate,6-9,80%,,
Aloe Vera,25-30,1.5-1.8,10-14,60%,30%,10%,50-60%,5.5-6.5,moderate,2,good,ec,high,5-7.5,high,6-9,70%,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,light
