plant_name,temp,EC ds/m,light_time_day,red_light,blue_light,far_red,humidity ,ph,water_times (times/day),air flow ,growth_yield/m^2 (kg),Active Agents (%),Growth Time (weeks),accuracy,life cycle (m)
Datura,22,2,14,60,30,10,75,6.3,6,Medium,2.4,2.2,12,86,
Datura,24,2.5,16,65,30,5,70,6.4,5,Medium,2.8,2.6,11,85,
Datura,23,1.8,18,70,25,5,80,6.2,7,Medium,2.1,1.9,14,88,
Datura,25,2.5,14,60,35,5,65,6.5,6,High,2.7,2.4,12,84,
Datura,21,2.2,16,70,25,5,78,6.3,8,Medium,2,1.8,15,89,
Datura,27,3,12,55,40,5,60,6.8,4,High,3.1,3.3,10,80,
Datura,22,1.5,16,65,30,10,75,6.4,6,Medium,2.2,2,14,87,
Datura,23,2,16,65,30,5,75,6.5,6,Medium,2.3,2.1,13,86,
Datura,26,2.8,12,50,40,10,62,6.7,5,High,2.6,2.8,11,82,
Datura,25,3,14,60,30,10,70,6.5,6,High,2.9,3,12,83,
Datura,20,1.7,16,60,30,10,80,6.2,8,Medium,1.8,1.5,16,90,
Datura,28,2.7,14,55,35,10,65,6.8,5,High,3,3.2,11,80,
Datura,21,1.9,18,70,20,10,78,6.3,7,Medium,2.2,2,14,86,
Datura,24,2.5,14,60,35,5,70,6.5,6,High,2.8,2.5,12,85,
Datura,22,2.3,16,65,30,5,75,6.3,7,Medium,2.6,2.3,13,84,
Datura,25,2.7,12,50,40,10,62,6.8,4,High,3,3.4,10,79,
Datura,26,3,14,60,30,5,65,6.7,6,High,3.1,3.5,11,80,
Datura,20,1.8,16,60,30,10,75,6.3,8,Medium,2.1,1.8,15,89,
Datura,23,2.3,16,65,30,5,75,6.5,7,Medium,2.5,2.2,13,86,
Datura,27,2.8,12,55,40,10,60,6.8,4,High,3.2,3.4,10,82,
Datura,28,3.7,12,70,40,-10,60,6.4,7,Low,3.3,3.34,8,85,
Datura,26,3,14,70,20,10,70,6.3,7,Medium,2.44,2.81,10,85,
Datura,26,3.2,14,70,30,0,65,6.2,5,High,3.39,2.81,10,85,
Datura,24,3.7,16,50,20,30,60,6.4,6,Medium,2.05,3.07,6,85,
Datura,20,3.2,12,60,40,0,60,6.3,7,High,2.81,2.55,6,85,
Datura,26,3,12,70,30,0,60,6.2,6,Medium,2.11,3.02,6,85,
Datura,22,3.2,12,50,30,20,70,6.4,5,Medium,2.62,3.27,6,85,
Datura,20,3.2,14,70,30,0,60,6.4,5,Low,3.44,3.27,10,85,
Datura,26,3.5,14,50,30,20,65,6.3,5,High,3.45,2.5,10,85,
Datura,28,3.2,16,70,40,-10,65,6.3,7,Medium,2.95,2.87,10,85,
Datura,20,3.7,16,70,30,0,60,6.2,7,High,2.01,2.53,4,85,
Datura,26,3.5,16,50,40,10,70,6.4,7,High,2.86,3.1,5,85,
Datura,20,3.7,12,50,40,10,60,6.3,6,Medium,3.08,2.75,5,85,
Datura,26,3.7,14,50,30,20,60,6.3,5,Medium,2.46,3.24,4,85,
Datura,28,3.2,12,60,30,10,70,6.4,7,Medium,3.09,2.74,4,85,
Datura,22,3.5,12,50,40,10,65,6.4,5,Medium,2.47,2.68,5,85,
Datura,26,3.2,12,50,30,20,60,6.3,7,Low,2.1,3.08,4,85,
Datura,26,3.7,16,70,30,0,60,6.3,6,High,2.5,2.59,4,85,
Datura,24,3.5,14,60,40,0,60,6.3,7,High,2.74,2.69,4,85,
Datura,20,3.2,16,50,40,10,60,6.2,6,Medium,2.13,3.3,4,85,
